history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;25.06.2020;Индекс МосБиржи;Индекс МосБиржи;2760,75;2750,08;2771,6;2740,02;77705987110,8;0;0;2;11754831617200;RUB;4257839328,870000;3;
SNDX;IMOEX;26.06.2020;Индекс МосБиржи;Индекс МосБиржи;2761,74;2780,02;2784,89;2746,78;57008606028,8;0;0;2;11759039005200;RUB;4257839328,870000;3;
SNDX;IMOEX;29.06.2020;Индекс МосБиржи;Индекс МосБиржи;2767,95;2749,54;2767,95;2737,86;56287025266,5;0;0;2;11785470713300;RUB;4257839328,870000;3;
SNDX;IMOEX;30.06.2020;Индекс МосБиржи;Индекс МосБиржи;2743,2;2770,69;2778,09;2743,2;61943509212,7;0;0;2;11680086313400;RUB;4257839328,870000;3;
SNDX;IMOEX;02.07.2020;Индекс МосБиржи;Индекс МосБиржи;2788,79;2762,56;2789,92;2758,92;62424581353,2;0;0;2;11874230802600;RUB;4257839328,870000;3;
SNDX;IMOEX;03.07.2020;Индекс МосБиржи;Индекс МосБиржи;2801,66;2789,27;2803,32;2782,65;40610098890,2;0;0;2;11929007757400;RUB;4257839328,870000;3;
SNDX;IMOEX;06.07.2020;Индекс МосБиржи;Индекс МосБиржи;2835,18;2825,88;2855,94;2825,51;73695447847,6;0;0;2;12071727360800;RUB;4257839328,870000;3;
SNDX;IMOEX;07.07.2020;Индекс МосБиржи;Индекс МосБиржи;2825,21;2829,33;2835,76;2814,4;61989347407,4;0;0;2;12029269642600;RUB;4257839328,870000;3;
SNDX;IMOEX;08.07.2020;Индекс МосБиржи;Индекс МосБиржи;2815,83;2815,52;2823;2806,5;56770187936,2;0;0;2;11989360907200;RUB;4257839328,870000;3;
SNDX;IMOEX;09.07.2020;Индекс МосБиржи;Индекс МосБиржи;2782,43;2805,85;2810,74;2773,48;64509467616;0;0;2;11847159055700;RUB;4257839328,870000;3;
